time,temp,oside
3.57E-07,2589.85882,2701.09913
3.92E-07,2586.23476,2698.97872
4.28E-07,2591.45398,2697.07466
4.64E-07,2600.63659,2689.93562
4.99E-07,2592.83246,2691.59887
5.35E-07,2587.18758,2691.30249
5.71E-07,2583.61307,2687.03385
6.06E-07,2599.71124,2682.97429
6.42E-07,2597.15603,2693.3047
6.78E-07,2585.74043,2697.52091
7.13E-07,2599.68684,2701.12475
7.49E-07,2577.87644,2704.06113
7.85E-07,2591.87495,2696.00626
8.20E-07,2607.35756,2691.62393
8.56E-07,2597.01342,2685.29867
8.92E-07,2583.86319,2691.64787
9.27E-07,2565.10945,2696.87421
9.63E-07,2580.21313,2711.12683
9.99E-07,2580.8034,2694.59236
1.03E-06,2574.08222,2694.2726
1.07E-06,2585.75623,2691.81446
1.11E-06,2581.67161,2683.69907
1.14E-06,2581.74998,2697.20072
1.18E-06,2598.18731,2689.36418
1.21E-06,2599.35987,2696.01678
1.25E-06,2597.06755,2687.56663
1.28E-06,2597.44885,2687.7449
1.32E-06,2582.23195,2697.03773
1.36E-06,2599.81712,2698.1892
1.39E-06,2598.43506,2708.32092
1.43E-06,2605.68362,2703.85124
1.46E-06,2593.40536,2702.24547
1.50E-06,2596.22925,2698.05924
1.53E-06,2600.82154,2702.26357
1.57E-06,2579.55404,2692.02876
1.60E-06,2585.56821,2691.31483
1.64E-06,2596.62202,2702.1913
1.68E-06,2605.6173,2701.47462
1.71E-06,2602.28459,2692.25437
1.75E-06,2599.49067,2693.64451
1.78E-06,2621.67748,2704.50381
1.82E-06,2646.74566,2703.73047
1.85E-06,2658.76076,2711.49002
1.89E-06,2671.70053,2729.06919
1.93E-06,2687.81738,2737.45668
1.96E-06,2686.11146,2742.25853
2.00E-06,2702.26046,2755.32035
2.03E-06,2709.3012,2769.33818
2.07E-06,2716.16655,2759.93732
2.10E-06,2715.25815,2769.29787
2.14E-06,2709.52994,2765.68701
2.18E-06,2713.46945,2771.47847
2.21E-06,2721.95989,2770.82982
2.25E-06,2728.73824,2768.57063
2.28E-06,2734.3545,2783.27082
2.32E-06,2742.21042,2788.47746
2.35E-06,2740.38096,2783.99488
2.39E-06,2744.78586,2793.36653
0.000002425,2750.23169,2786.55861
2.46E-06,2744.33616,2794.28275
2.50E-06,2735.27992,2806.79961
2.53E-06,2745.3644,2807.0925
2.57E-06,2738.14484,2802.01024
2.60E-06,2747.42431,2796.0309
2.64E-06,2759.88291,2800.29759
2.67E-06,2756.70172,2803.01626
2.71E-06,2760.49628,2804.68173
2.75E-06,2755.78711,2811.91268
2.78E-06,2752.74772,2812.1803
2.82E-06,2765.83094,2820.18042
2.85E-06,2775.82937,2822.45657
2.89E-06,2771.48136,2818.60784
2.92E-06,2770.88589,2823.07555
2.96E-06,2762.7056,2821.20576
3.00E-06,2757.74454,2831.54303
3.03E-06,2764.39545,2816.16741
3.07E-06,2754.89198,2823.84465
3.10E-06,2766.06871,2814.84064
3.14E-06,2765.50995,2814.06067
3.17E-06,2779.56911,2828.83707
3.21E-06,2769.14856,2829.4817
3.25E-06,2754.54348,2819.55369
3.28E-06,2741.507,2816.95167
3.32E-06,2731.68565,2811.70305
3.35E-06,2727.60575,2809.29772
3.39E-06,2723.402,2802.34154
3.42E-06,2709.3611,2791.96896
3.46E-06,2696.019,2791.82945
3.49E-06,2689.03436,2780.56039
3.53E-06,2700.43984,2782.03566
3.57E-06,2696.71501,2782.48257
3.60E-06,2690.70048,2791.2465
3.64E-06,2671.02128,2790.3754
3.67E-06,2674.23998,2763.90803
3.71E-06,2672.10904,2757.73278
3.74E-06,2658.23566,2769.28092
3.78E-06,2656.31167,2767.34353
3.82E-06,2668.84151,2773.70554
3.85E-06,2664.66492,2763.62582
3.89E-06,2672.65433,2757.37861
3.92E-06,2653.0204,2764.46167
3.96E-06,2657.84109,2748.13473
3.99E-06,2644.73212,2745.56893
4.03E-06,2643.34848,2760.1829
4.07E-06,2639.555,2761.39034
4.10E-06,2644.01793,2747.62267
4.14E-06,2642.8169,2739.38506
4.17E-06,2632.96207,2749.75121
4.21E-06,2651.83611,2746.64336
4.24E-06,2633.6524,2748.58844
4.28E-06,2618.71566,2739.865
4.32E-06,2629.69988,2739.62539
4.35E-06,2639.90122,2741.10201
4.39E-06,2635.80466,2740.82546
4.42E-06,2636.72504,2737.81727
4.46E-06,2636.25841,2733.87162
4.49E-06,2624.43906,2727.45688
4.53E-06,2627.94964,2726.64439
4.56E-06,2612.86907,2723.17133
4.60E-06,2603.78675,2729.67011
4.64E-06,2610.2764,2737.9942
4.67E-06,2630.79301,2735.53887
4.71E-06,2629.77261,2730.51438
4.74E-06,2625.47986,2727.73546
4.78E-06,2614.42479,2718.85043
4.81E-06,2602.67282,2720.65014
0.00000485,2603.2613,2718.72605
4.89E-06,2607.13628,2725.63577
4.92E-06,2613.83087,2728.57715
4.96E-06,2628.49492,2721.74182
4.99E-06,2608.5722,2728.19801
5.03E-06,2601.65235,2724.363
5.06E-06,2623.36628,2729.68656
5.10E-06,2617.6229,2729.31019
5.14E-06,2606.95968,2724.54243
5.17E-06,2621.24117,2711.56688
5.21E-06,2608.35393,2717.21052
5.24E-06,2598.44722,2714.09176
5.28E-06,2605.71191,2708.89993
5.31E-06,2601.02922,2708.60381
5.35E-06,2612.70838,2716.1038
5.38E-06,2609.26438,2709.02063
5.42E-06,2597.81799,2718.04656
5.46E-06,2609.36592,2714.61727
5.49E-06,2616.72624,2705.54017
5.53E-06,2616.28528,2710.57137
