time,temp,oside
3.5662E-07,3083.7161,3136.6338
3.9228E-07,3083.70909,3138.10312
4.2794E-07,3081.55578,3130.57678
4.636E-07,3076.42069,3137.5464
4.9926E-07,3078.84329,3138.22064
5.3493E-07,3077.94028,3139.71593
5.7059E-07,3073.35113,3135.69299
6.0625E-07,3070.31072,3138.3168
6.4191E-07,3073.15091,3135.33098
6.7757E-07,3075.37433,3130.02877
7.1324E-07,3074.76738,3126.68986
7.489E-07,3073.75931,3133.53411
7.8456E-07,3072.84455,3134.64069
8.2022E-07,3070.21873,3136.88503
8.5588E-07,3072.50649,3134.79839
8.9154E-07,3073.06366,3136.19856
9.2721E-07,3068.78227,3132.33705
9.6287E-07,3074.78562,3133.82608
9.9853E-07,3072.46403,3135.64931
1.03419E-06,3072.39319,3135.58475
1.06985E-06,3071.32833,3134.1285
1.10551E-06,3073.72268,3129.98377
1.14118E-06,3078.09986,3133.81222
1.17684E-06,3074.01057,3138.20799
1.2125E-06,3075.23222,3137.69279
1.24816E-06,3072.56928,3134.30424
1.28382E-06,3072.69058,3131.76569
1.31949E-06,3073.52782,3133.97579
1.35515E-06,3077.11443,3133.68361
1.39081E-06,3074.08258,3128.87487
1.42647E-06,3077.21024,3131.1852
1.46213E-06,3079.35161,3126.21461
1.49779E-06,3077.38899,3132.92619
1.53346E-06,3072.85187,3135.76077
1.56912E-06,3073.33926,3131.86681
1.60478E-06,3075.29911,3127.72349
1.64044E-06,3079.70326,3130.6481
1.6761E-06,3081.62137,3128.88037
1.71176E-06,3087.98701,3135.22602
1.74743E-06,3093.96585,3132.32474
1.78309E-06,3106.59911,3134.19281
1.81875E-06,3115.48538,3134.8189
1.85441E-06,3127.7134,3134.66315
1.89007E-06,3136.71524,3139.35463
1.92574E-06,3145.00463,3140.59808
1.9614E-06,3146.92976,3141.36289
1.99706E-06,3150.85569,3145.28729
2.03272E-06,3160.55385,3147.78551
2.06838E-06,3163.61541,3143.55435
2.10404E-06,3170.81401,3151.53023
2.13971E-06,3177.45523,3148.73576
2.17537E-06,3186.7659,3152.08216
2.21103E-06,3188.32882,3153.36229
2.24669E-06,3194.79025,3155.0773
2.28235E-06,3197.29383,3162.63649
2.31801E-06,3196.00258,3169.1425
2.35368E-06,3204.36918,3165.76446
2.38934E-06,3205.90446,3165.86942
0.000002425,3205.17374,3168.60392
2.46066E-06,3210.33579,3172.93407
2.49632E-06,3215.9784,3172.88347
2.53199E-06,3217.99735,3172.16532
2.56765E-06,3219.74839,3174.96315
2.60331E-06,3222.20395,3177.23805
2.63897E-06,3221.32812,3174.26722
2.67463E-06,3225.04241,3175.57316
2.71029E-06,3225.76077,3175.19712
2.74596E-06,3230.34364,3179.42411
2.78162E-06,3228.45722,3183.73066
2.81728E-06,3227.63051,3177.71583
2.85294E-06,3230.66962,3183.70934
