time,temp,oside,,,
3.57E-07,2569.68915,2593.96122,,,
3.92E-07,2565.64208,2590.90992,,,
4.28E-07,2567.70086,2593.27557,,,
4.64E-07,2564.65136,2593.0833,,,
4.99E-07,2565.45342,2591.68484,,,
5.35E-07,2557.14681,2597.43815,,,
5.71E-07,2556.63504,2602.54202,,,
6.06E-07,2562.3181,2596.0098,,,
6.42E-07,2562.5457,2594.85489,,,
6.78E-07,2574.25673,2587.67541,,,
7.13E-07,2563.93967,2593.22528,,,
7.49E-07,2570.81265,2600.42278,,,
7.85E-07,2563.76302,2596.55857,,,
8.20E-07,2556.40493,2596.8887,,,
8.56E-07,2557.02437,2586.86695,,,
8.92E-07,2565.21966,2599.03543,,,
9.27E-07,2573.61586,2595.16358,,,
9.63E-07,2568.18529,2592.47189,,,
9.99E-07,2558.37829,2595.61119,,,
1.03E-06,2553.75866,2600.27935,,,
1.07E-06,2561.53513,2600.23438,,,
1.11E-06,2564.75508,2603.44816,,,
1.14E-06,2569.32478,2604.38462,,,
1.18E-06,2572.72496,2599.46586,,,
1.21E-06,2564.31531,2594.98682,,,
1.25E-06,2570.87399,2597.71634,,,
1.28E-06,2569.46154,2591.6139,,,
1.32E-06,2569.36214,2589.71318,,,
1.36E-06,2580.27039,2597.4563,,,
1.39E-06,2576.98065,2597.1734,,,
1.43E-06,2564.84217,2600.56725,,,
1.46E-06,2560.38528,2588.50066,,,
1.50E-06,2564.35852,2593.84271,,,
1.53E-06,2574.97618,2587.28262,,,
1.57E-06,2565.10866,2583.40126,,,
1.60E-06,2570.66536,2584.48791,,,
1.64E-06,2578.65272,2599.21598,,,
1.68E-06,2572.20975,2589.66297,,,
1.71E-06,2579.13492,2594.74093,,,
1.75E-06,2581.68421,2593.99076,,,
1.78E-06,2589.21383,2594.77241,,,
1.82E-06,2595.40185,2603.45486,,,
1.85E-06,2593.6012,2591.1502,,,
1.89E-06,2599.07796,2594.58209,,,
1.93E-06,2607.45826,2585.78524,,,
1.96E-06,2604.26009,2598.29602,,,
